,hlda,rmsd,V
567,0.55,6.75,17.388812936679496
572,0.55,7.25,18.673513830886716
574,0.55,7.45,18.85180394577331
575,0.55,7.55,18.224836209691514
580,0.55,8.05,18.25695659839036
581,0.55,8.149999999999999,18.887498063448678
656,0.65,5.6499999999999995,16.684472676632062
657,0.65,5.75,16.715126983624828
658,0.65,5.85,16.35004751406968
659,0.65,5.949999999999999,15.419607588351154
660,0.65,6.05,14.852011737995808
661,0.65,6.15,14.496328567630036
662,0.65,6.25,14.21777552056163
663,0.65,6.35,13.915316105687825
664,0.65,6.45,13.387891531044378
665,0.65,6.550000000000001,13.302590558943386
666,0.65,6.65,13.156036884251877
667,0.65,6.75,12.770208979101099
668,0.65,6.8500000000000005,12.679321821672517
669,0.65,6.949999999999999,12.597364563315374
670,0.65,7.05,12.43531741642078
671,0.65,7.1499999999999995,12.350839191113572
672,0.65,7.25,12.38689637898697
673,0.65,7.35,12.37172917454469
674,0.65,7.45,12.422055091974599
675,0.65,7.55,12.434555535196258
676,0.65,7.65,12.580356529272553
677,0.65,7.75,12.825011346828363
678,0.65,7.8500000000000005,12.978845534438273
679,0.65,7.95,13.325152222311633
680,0.65,8.05,13.624720168775978
681,0.65,8.149999999999999,14.0231776795483
682,0.65,8.25,14.687189191916856
683,0.65,8.35,15.364804512884712
684,0.65,8.45,16.805325156964166
685,0.65,8.55,17.197450171446278
747,0.75,4.75,17.61541686651452
748,0.75,4.85,17.570822220943576
749,0.75,4.95,15.45417356977767
750,0.75,5.05,14.732430711095986
751,0.75,5.15,14.117327160715323
752,0.75,5.25,13.665903157642038
753,0.75,5.3500000000000005,13.112220397906537
754,0.75,5.45,12.53950157751524
755,0.75,5.550000000000001,12.02842683947959
756,0.75,5.6499999999999995,11.50252001150218
757,0.75,5.75,11.273416700762002
758,0.75,5.85,10.94366580159707
759,0.75,5.949999999999999,10.77713795797006
760,0.75,6.05,10.466563959557236
761,0.75,6.15,10.371002184861617
762,0.75,6.25,10.22692064311693
763,0.75,6.35,10.109803610163391
764,0.75,6.45,10.03384762616141
765,0.75,6.550000000000001,9.965378107178465
766,0.75,6.65,9.928561869037253
767,0.75,6.75,9.872984173041097
768,0.75,6.8500000000000005,9.85043064867339
769,0.75,6.949999999999999,9.868794710980199
770,0.75,7.05,9.896757839750723
771,0.75,7.1499999999999995,9.939808198436477
772,0.75,7.25,10.032909164012114
773,0.75,7.35,10.156699823539393
774,0.75,7.45,10.26855552344779
775,0.75,7.55,10.467504191054475
776,0.75,7.65,10.720589951561625
777,0.75,7.75,10.99844976810572
778,0.75,7.8500000000000005,11.337305024049332
779,0.75,7.95,11.763281911127919
780,0.75,8.05,12.309569858067864
781,0.75,8.149999999999999,12.978818286479939
782,0.75,8.25,13.846240761968986
783,0.75,8.35,14.777214676896895
784,0.75,8.45,16.24724132115371
785,0.75,8.55,18.09561400584692
839,0.8500000000000001,3.95,18.379359735260255
840,0.8500000000000001,4.050000000000001,17.56401200070859
841,0.8500000000000001,4.1499999999999995,15.6623500946495
842,0.8500000000000001,4.25,15.410503231572473
843,0.8500000000000001,4.35,15.660156457069004
844,0.8500000000000001,4.45,14.451348204207383
845,0.8500000000000001,4.55,14.154024498674724
846,0.8500000000000001,4.65,13.281154908606457
847,0.8500000000000001,4.75,12.802786921178168
848,0.8500000000000001,4.85,12.333214008508017
849,0.8500000000000001,4.95,11.88898735899978
850,0.8500000000000001,5.05,11.35812034099723
851,0.8500000000000001,5.15,10.92033694896047
852,0.8500000000000001,5.25,10.551108004607949
853,0.8500000000000001,5.3500000000000005,10.203936813329333
854,0.8500000000000001,5.45,9.954690891729426
855,0.8500000000000001,5.550000000000001,9.74972290241855
856,0.8500000000000001,5.6499999999999995,9.623219478624119
857,0.8500000000000001,5.75,9.472893907986407
858,0.8500000000000001,5.85,9.43038744685852
859,0.8500000000000001,5.949999999999999,9.365565969465726
860,0.8500000000000001,6.05,9.323554218022876
861,0.8500000000000001,6.15,9.33180928778862
862,0.8500000000000001,6.25,9.31718208833873
863,0.8500000000000001,6.35,9.331073946783253
864,0.8500000000000001,6.45,9.353629594368492
865,0.8500000000000001,6.550000000000001,9.362924332985905
866,0.8500000000000001,6.65,9.378980103965471
867,0.8500000000000001,6.75,9.41876035378183
868,0.8500000000000001,6.8500000000000005,9.47314727861193
869,0.8500000000000001,6.949999999999999,9.562548537637465
870,0.8500000000000001,7.05,9.65187406857101
871,0.8500000000000001,7.1499999999999995,9.789726090075806
872,0.8500000000000001,7.25,9.926390525240846
873,0.8500000000000001,7.35,10.097392695947677
874,0.8500000000000001,7.45,10.319723650498862
875,0.8500000000000001,7.55,10.573510426661272
876,0.8500000000000001,7.65,10.860027308823902
877,0.8500000000000001,7.75,11.251510050002482
878,0.8500000000000001,7.8500000000000005,11.715216866500363
879,0.8500000000000001,7.95,12.244660974886655
880,0.8500000000000001,8.05,12.98145461491593
881,0.8500000000000001,8.149999999999999,13.778882747364221
882,0.8500000000000001,8.25,14.686040177362269
883,0.8500000000000001,8.35,15.69044769386374
884,0.8500000000000001,8.45,17.08312198472147
885,0.8500000000000001,8.55,17.897595661388987
935,0.95,3.55,17.11735674421294
936,0.95,3.65,17.26949695810163
937,0.95,3.75,15.939975295656273
938,0.95,3.85,14.92566296936643
939,0.95,3.95,14.369112450483915
940,0.95,4.050000000000001,13.940540991580805
941,0.95,4.1499999999999995,13.312844638015829
942,0.95,4.25,12.814898461721823
943,0.95,4.35,12.25257739145599
944,0.95,4.45,11.799327067435302
945,0.95,4.55,11.25852445299016
946,0.95,4.65,10.851337687203205
947,0.95,4.75,10.390403792802562
948,0.95,4.85,10.063085039320928
949,0.95,4.95,9.760625270577535
950,0.95,5.05,9.5451339074372
951,0.95,5.15,9.368258563166323
952,0.95,5.25,9.232066897771817
953,0.95,5.3500000000000005,9.11760282512494
954,0.95,5.45,9.100002767260186
955,0.95,5.550000000000001,9.096760967957888
956,0.95,5.6499999999999995,9.119243364538262
957,0.95,5.75,9.121713728137141
958,0.95,5.85,9.186263787555385
959,0.95,5.949999999999999,9.20567388836646
960,0.95,6.05,9.222582485054849
961,0.95,6.15,9.263875881232591
962,0.95,6.25,9.346030244950654
963,0.95,6.35,9.409143947708268
